Number of words,2415830
Number of unique words,84141
Average word frequency,28.711686
Entropy,7.469870

Word,Frequency,Proportion,Entropy Term
look,1608,0.000666,0.004869
forward,1076,0.000445,0.003437
soon,1247,0.000516,0.003907
appartment,381,0.000158,0.001381
clear,1239,0.000513,0.003885
colorful,69,0.000029,0.000299
cosy,733,0.000303,0.002458
visit,3958,0.001638,0.010509
santa,3495,0.001447,0.009459
monicavenice,28,0.000012,0.000132
area,10943,0.004530,0.024447
understand,193,0.000080,0.000754
prior,496,0.000205,0.001743
christmas,150,0.000062,0.000601
holidays,101,0.000042,0.000422
homely,173,0.000072,0.000683
spots,908,0.000376,0.002964
descriptions,79,0.000033,0.000338
ellywe,1,0.000000,0.000006
visiting,1815,0.000751,0.005405
plenty,2942,0.001218,0.008172
restaurants,7171,0.002968,0.017275
took,1665,0.000689,0.005017
van,131,0.000054,0.000533
morrison,2,0.000001,0.000012
drove,251,0.000104,0.000953
monica,3590,0.001486,0.009677
beach,10470,0.004334,0.023582
picnic,30,0.000012,0.000140
sunday,126,0.000052,0.000514
weekend,1759,0.000728,0.005261
universal,1148,0.000475,0.003636
griffith,474,0.000196,0.001675
park,2860,0.001184,0.007978
kind,4083,0.001690,0.010788
tourism,27,0.000011,0.000127
practically,71,0.000029,0.000307
short,3640,0.001507,0.009790
exquisite,51,0.000021,0.000227
beautifully,990,0.000410,0.003196
maintained,494,0.000204,0.001737
plain,25,0.000010,0.000119
spend,1055,0.000437,0.003378
begin,131,0.000054,0.000533
appears,158,0.000065,0.000630
picture,453,0.000188,0.001609
adorable,968,0.000401,0.003134
pay,370,0.000153,0.001345
attention,542,0.000224,0.001885
possibly,416,0.000172,0.001492
bathroom,6131,0.002538,0.015167
charming,1465,0.000606,0.004492
jewel,51,0.000021,0.000227
soul,76,0.000031,0.000326
charm,303,0.000125,0.001127
appointed,656,0.000272,0.002230
hid,4,0.000002,0.000022
base,509,0.000211,0.001784
hills,1613,0.000668,0.004882
prestigious,5,0.000002,0.000027
neighbourhood,1359,0.000563,0.004210
celebrities,11,0.000005,0.000056
live,1172,0.000485,0.003702
follow,238,0.000099,0.000909
given,644,0.000267,0.002194
drivers,61,0.000025,0.000267
dictating,1,0.000000,0.000006
arrived,3561,0.001474,0.009610
hours,925,0.000383,0.003012
ago,67,0.000028,0.000291
miss,448,0.000185,0.001593
beautful,3,0.000001,0.000017
pop,43,0.000018,0.000195
cream,134,0.000055,0.000544
repair,47,0.000019,0.000211
contact,967,0.000400,0.003132
times,1507,0.000624,0.004603
responded,1286,0.000532,0.004013
immediately,1039,0.000430,0.003334
texts,191,0.000079,0.000747
emails,234,0.000097,0.000895
service,587,0.000243,0.002022
eager,97,0.000040,0.000406
pride,68,0.000028,0.000295
ownership,6,0.000002,0.000032
ask,971,0.000402,0.003143
minutes,3055,0.001265,0.008439
chinese,289,0.000120,0.001080
theatre,152,0.000063,0.000609
streets,416,0.000172,0.001492
amenity,150,0.000062,0.000601
outside,2198,0.000910,0.006371
door,2092,0.000866,0.006106
complex,543,0.000225,0.001888
secret,99,0.000041,0.000414
setting,395,0.000164,0.001426
incredibley,1,0.000000,0.000006
wait,929,0.000385,0.003024
love,3715,0.001538,0.009961
prepared,727,0.000301,0.002440
drink,302,0.000125,0.001123
looking,3633,0.001504,0.009775
blocks,1385,0.000573,0.004279
communicators,36,0.000015,0.000166
needwant,7,0.000003,0.000037
accommodating,5639,0.002334,0.014145
spent,1295,0.000536,0.004037
week,1447,0.000599,0.004445
definitively,42,0.000017,0.000191
work,2639,0.001092,0.007449
coming,1384,0.000573,0.004277
quaint,446,0.000185,0.001587
relaxing,1726,0.000714,0.005176
pictures,3153,0.001305,0.008668
true,548,0.000227,0.001903
actual,192,0.000079,0.000750
decor,885,0.000366,0.002898
inviting,626,0.000259,0.002140
accessible,921,0.000381,0.003001
needed,8676,0.003591,0.020216
forgotten,92,0.000038,0.000388
kinds,126,0.000052,0.000514
shops,2954,0.001223,0.008201
thoroughly,508,0.000210,0.001780
chance,853,0.000353,0.002807
wouah,1,0.000000,0.000006
magical,363,0.000150,0.001323
decoration,179,0.000074,0.000705
son,910,0.000377,0.002970
sleep,1757,0.000727,0.005256
brought,409,0.000169,0.001470
folding,18,0.000007,0.000088
crib,49,0.000020,0.000219
baby,344,0.000142,0.001261
hospitality,1187,0.000491,0.003743
did,4116,0.001704,0.010861
disappoint,56,0.000023,0.000247
meet,2332,0.000965,0.006702
day,5300,0.002194,0.013431
think,1286,0.000532,0.004013
strip,239,0.000099,0.000912
came,1806,0.000748,0.005382
handy,406,0.000168,0.001461
accidentally,75,0.000031,0.000322
wallet,8,0.000003,0.000042
communicative,980,0.000406,0.003168
detailed,548,0.000227,0.001903
easytofollow,6,0.000002,0.000032
personal,516,0.000214,0.001805
certainly,692,0.000286,0.002337
red,157,0.000065,0.000627
bottles,202,0.000084,0.000785
whcih,1,0.000000,0.000006
drive,2412,0.000998,0.006898
gorgeous,1323,0.000548,0.004113
advertised,1049,0.000434,0.003362
thankyou,44,0.000018,0.000199
staykelly,1,0.000000,0.000006
zahra,1,0.000000,0.000006
conveniently,959,0.000397,0.003109
centrally,880,0.000364,0.002884
located,5417,0.002242,0.013679
silverlake,421,0.000174,0.001508
dtla,536,0.000222,0.001867
venice,5128,0.002123,0.013065
kindly,273,0.000113,0.001027
understanding,374,0.000155,0.001358
decided,294,0.000122,0.001097
cut,111,0.000046,0.000459
bad,828,0.000343,0.002735
weather,473,0.000196,0.001672
request,526,0.000218,0.001836
book,2032,0.000841,0.005956
nearest,57,0.000024,0.000251
lyft,255,0.000106,0.000966
ride,1122,0.000464,0.003564
hill,486,0.000201,0.001712
views,1671,0.000692,0.005033
city,2915,0.001207,0.008108
hope,1813,0.000750,0.005399
vacation,1107,0.000458,0.003523
hollywoodrelated,1,0.000000,0.000006
steps,604,0.000250,0.002074
taken,508,0.000210,0.001780
care,1236,0.000512,0.003877
kept,1269,0.000525,0.003967
knew,452,0.000187,0.001606
existed,14,0.000006,0.000070
serene,255,0.000106,0.000966
incredible,1167,0.000483,0.003688
passed,54,0.000022,0.000239
til,110,0.000046,0.000455
timenatalie,1,0.000000,0.000006
days,3541,0.001466,0.009565
mee,3,0.000001,0.000017
stars,738,0.000305,0.002472
advance,202,0.000084,0.000785
remind,30,0.000012,0.000140
print,54,0.000022,0.000239
itinerary,54,0.000022,0.000239
details,747,0.000309,0.002499
second,1415,0.000586,0.004359
greeted,930,0.000385,0.003027
andor,75,0.000031,0.000322
person,2331,0.000965,0.006700
pictured,910,0.000377,0.002970
table,747,0.000309,0.002499
right,5347,0.002213,0.013531
drinking,106,0.000044,0.000440
sun,550,0.000228,0.001910
friend,1445,0.000598,0.004439
cure,3,0.000001,0.000017
say,1902,0.000787,0.005627
understatement,26,0.000011,0.000123
ill,820,0.000339,0.002711
fingers,7,0.000003,0.000037
crossed,26,0.000011,0.000123
available,3832,0.001586,0.010225
mean,103,0.000043,0.000429
situation,405,0.000168,0.001457
pleasant,2093,0.000866,0.006109
nearby,2044,0.000846,0.005986
birch,1,0.000000,0.000006
hotdogs,7,0.000003,0.000037
farmers,363,0.000150,0.001323
market,715,0.000296,0.002405
believed,10,0.000004,0.000051
condo,745,0.000308,0.002493
touristy,120,0.000050,0.000492
grove,485,0.000201,0.001709
fabulous,808,0.000334,0.002677
justice,372,0.000154,0.001352
assigned,68,0.000028,0.000295
boyfriend,697,0.000289,0.002352
smooth,736,0.000305,0.002467
downtown,3436,0.001422,0.009324
ensimmäinen,1,0.000000,0.000006
airbnbkokemus,1,0.000000,0.000006
ja,79,0.000033,0.000338
aivan,3,0.000001,0.000017
loistava,4,0.000002,0.000022
sellainen,4,0.000002,0.000022
majapaikan,1,0.000000,0.000006
sijainti,6,0.000002,0.000032
näppärä,1,0.000000,0.000006
viihtyisä,6,0.000002,0.000032
huoneisto,1,0.000000,0.000006
hyvin,13,0.000005,0.000065
varustettu,1,0.000000,0.000006
keittiö,2,0.000001,0.000012
kokkailuun,1,0.000000,0.000006
ellyltä,1,0.000000,0.000006
wcltä,1,0.000000,0.000006
sai,3,0.000001,0.000017
infoa,1,0.000000,0.000006
aina,2,0.000001,0.000012
tarvittaessa,2,0.000001,0.000012
suosittelen,5,0.000002,0.000027
hellomy,2,0.000001,0.000012
teens,24,0.000010,0.000114
california,748,0.000310,0.002502
pros,129,0.000053,0.000525
said,988,0.000409,0.003191
roll,71,0.000029,0.000307
supplies,355,0.000147,0.001297
doors,331,0.000137,0.001219
slamming,10,0.000004,0.000051
loud,639,0.000265,0.002179
voices,13,0.000005,0.000065
sign,574,0.000238,0.001983
cons,120,0.000050,0.000492
trying,402,0.000166,0.001448
turn,243,0.000101,0.000926
frustrating,51,0.000021,0.000227
pass,402,0.000166,0.001448
turns,62,0.000026,0.000271
light,1451,0.000601,0.004455
stated,197,0.000082,0.000768
discription,9,0.000004,0.000047
surprises,136,0.000056,0.000551
therejust,2,0.000001,0.000012
porch,315,0.000130,0.001166
remember,164,0.000068,0.000652
allowing,228,0.000094,0.000875
rent,830,0.000344,0.002740
using,1206,0.000499,0.003795
plan,782,0.000324,0.002601
explore,913,0.000378,0.002978
offer,708,0.000293,0.002384
jumping,40,0.000017,0.000182
point,619,0.000256,0.002119
communicator,202,0.000084,0.000785
grateful,298,0.000123,0.001110
enabling,5,0.000002,0.000027
vine,37,0.000015,0.000170
tons,560,0.000232,0.001940
dining,614,0.000254,0.002104
shopping,1536,0.000636,0.004680
options,516,0.000214,0.001805
comforts,137,0.000057,0.000554
candies,16,0.000007,0.000079
reply,285,0.000118,0.001067
bang,33,0.000014,0.000153
buck,28,0.000012,0.000132
self,245,0.000101,0.000933
appartament,2,0.000001,0.000012
satisfied,266,0.000110,0.001004
wanting,343,0.000142,0.001258
small,3179,0.001316,0.008729
bedroom,2667,0.001104,0.007517
dresser,57,0.000024,0.000251
mirror,93,0.000038,0.000391
getting,1718,0.000711,0.005155
ready,1038,0.000430,0.003331
reserved,144,0.000060,0.000580
complimentary,171,0.000071,0.000676
treat,379,0.000157,0.001374
assist,113,0.000047,0.000466
highways,116,0.000048,0.000477
dedicated,122,0.000051,0.000500
especially,1786,0.000739,0.005330
traveling,856,0.000354,0.002815
se,472,0.000195,0.001669
asia,7,0.000003,0.000037
noise,1325,0.000548,0.004118
normal,120,0.000050,0.000492
helping,296,0.000123,0.001104
success,40,0.000017,0.000182
truly,1407,0.000582,0.004338
